drill_id,category,failure_mode,pipeline_stage,injection_command,expected_recovery_mechanism,verification_query,pass_condition,mttr_target_s,data_loss_risk,notes
FM-11,clickhouse_sink,ClickHouse TYPE_MISMATCH (NON_RETRYABLE),sink_outbox,inject wrong-type event into outbox,Row promoted to DLQ immediately; no retry; final_error_class='NON_RETRYABLE',SELECT final_error_class FROM dead_letter_events LIMIT 1,NON_RETRYABLE classification confirmed,60,none,Taxonomy classification drill
FM-12,clickhouse_sink,ClickHouse MEMORY_LIMIT_EXCEEDED (RETRYABLE),sink_outbox,SET max_memory_usage=1 on CH temporarily,Error classified RETRYABLE; retry_count increments; backoff applies; after memory limit restored rows drain,SELECT MAX(retry_count) FROM sink_outbox WHERE sink_target='clickhouse',retry_count > 0 during outage; all rows SYNCED after recovery,900,none,Retry + backoff drill
FM-13,neo4j_sink,Neo4j container restart loop,sink_outbox (neo4j),docker stop pandavs-neo4j-fixed,Neo4j outbox rows FAIL with RETRYABLE; accumulate; drain after docker restart pandavs-neo4j-fixed,SELECT COUNT(*) FROM sink_outbox WHERE sink_target='neo4j' AND status='FAILED',Count peaks then drains to 0 after container recovery,900,none,Documented failure pattern from DATABASE_OPS.md
FM-14,neo4j_sink,Neo4j ConstraintValidationFailed on replay (ALREADY_SYNCED),sink_outbox (neo4j),Re-run neo4j sink on already-synced events,Error classified ALREADY_SYNCED; outbox row marked SYNCED immediately; no DLQ,SELECT retry_count FROM sink_outbox WHERE event_id='<test_id>' AND sink_target='neo4j',retry_count=0 and status='SYNCED',60,none,ALREADY_SYNCED taxonomy drill
FM-15,cross_stage,All three workers SIGKILL simultaneously,chunk_queue + outbox + files,kill -9 $(pgrep -f 'run_full|persistence_gateway|clickhouse_sink'),Each component's reaper independently recovers its in-flight rows; restart all workers; each continues from correct state,SELECT status COUNT(*) FROM chunk_queue GROUP BY status; SELECT status COUNT(*) FROM sink_outbox GROUP BY status,All states show correct progression after restart,900,none,Full-pipeline crash drill
FM-16,cross_stage,Full runtime restart (OS-level reboot simulation),all,Restart all processes (simulate reboot without DB wipe),scan_persistence.db survives; each worker restarts and resumes; no duplicate events,SELECT COUNT(*) FROM events (before vs after),Count equal or higher,300,none (DB file persists through restart),WAL mode durability drill
FM-17,persistence,SQLite WAL corruption (torn write),events table,cp scan_persistence.db /tmp/drill_copy.db && truncate --size 0 /tmp/drill_copy.db-wal,PRAGMA integrity_check returns 'ok'; in-flight uncommitted events lost but committed data intact,sqlite3 /tmp/drill_copy.db 'PRAGMA integrity_check',Returns 'ok',60,partial (uncommitted in-flight events lost),Run on copy only — NEVER on production DB
FM-18,backlog_drain,Drain 10k PENDING outbox rows after 2h CH outage,sink_outbox,Stop CH 2h; accumulate rows; restart CH; run clickhouse_sink_worker run-once,All 10k rows SYNCED within 12 minutes at 50k events/min rate,SELECT COUNT(*) FROM sink_outbox WHERE status='SYNCED' AND synced_at >= '<recovery_ts>',Count = accumulated rows; elapsed < 720s,720,none,Throughput + drain drill
FM-19,backlog_drain,Replay correctness after full outbox drain,sink_outbox,Run clickhouse_sink_worker run-once after FM-18 completes,Zero new SYNCED rows; event_sync_ledger unchanged; ReplacingMergeTree count stable,SELECT count() FROM pandavs_recon.scan_events FINAL (before vs after second run),FINAL count identical; no new sync_ledger rows,120,none,Idempotency post-drain drill
FM-20,backlog_drain,Concurrent scan + persistence + replay under load,all,Run all three workers simultaneously at full PARALLEL=48,All workers make progress; no SQLITE_BUSY errors; WAL size stays bounded; hourly report shows monotonic increases,SELECT coverage_pct FROM <hourly_report_1>; SELECT coverage_pct FROM <hourly_report_2>,coverage_pct non-decreasing; events_total non-decreasing; ch_synced non-decreasing,3600,none,Sustained-load drill — run for 1h
